age,job,marital,education,balance,housing,loan,month,campaign,deposit
59.0,admin.,married,secondary,2343,yes,no,may,1,yes
56.0,admin.,married,secondary,45,no,no,may,1,yes
41.0,technician,married,secondary,1270,yes,no,may,1,yes
55.0,services,married,secondary,2476,yes,no,may,1,yes
54.0,admin.,married,tertiary,184,no,no,may,2,yes
42.0,management,single,tertiary,0,yes,yes,may,2,yes
56.0,management,married,tertiary,830,yes,yes,may,1,yes
60.0,retired,divorced,secondary,545,yes,no,may,1,yes
37.0,technician,married,secondary,1,yes,no,may,1,yes
28.0,services,single,secondary,4087,yes,no,may,3,yes
38.0,admin.,single,secondary,100,yes,no,may,1,yes
30.0,blue-collar,married,secondary,309,yes,no,may,2,yes
29.0,management,married,tertiary,199,yes,yes,may,4,yes
46.0,blue-collar,single,tertiary,460,yes,no,may,2,yes
31.0,technician,single,tertiary,703,yes,no,may,2,yes
35.0,management,divorced,tertiary,3837,yes,no,may,1,yes
32.0,blue-collar,single,primary,611,yes,no,may,3,yes
49.0,services,married,secondary,-8,yes,no,may,1,yes
41.0,admin.,married,secondary,55,yes,no,may,2,yes
49.0,admin.,divorced,secondary,168,yes,yes,may,1,yes
28.0,admin.,divorced,secondary,785,yes,no,may,2,yes
43.0,management,single,tertiary,2067,yes,no,may,1,yes
43.0,management,divorced,tertiary,388,yes,no,may,2,yes
43.0,blue-collar,married,primary,-192,yes,no,may,2,yes
37.0,unemployed,single,secondary,381,yes,no,may,2,yes
35.0,blue-collar,single,secondary,40,yes,no,may,4,yes
31.0,technician,single,tertiary,22,yes,no,may,3,yes
43.0,blue-collar,single,secondary,3,yes,no,may,3,yes
31.0,admin.,married,secondary,307,yes,no,may,1,yes
28.0,blue-collar,single,secondary,759,yes,no,may,1,yes
32.0,blue-collar,married,secondary,-1,yes,no,may,1,yes
60.0,technician,married,primary,65,yes,no,may,2,yes
26.0,blue-collar,single,secondary,82,yes,no,may,1,yes
40.0,blue-collar,married,secondary,10,yes,no,may,2,yes
33.0,blue-collar,divorced,primary,390,yes,no,may,2,yes
32.0,management,single,tertiary,311,no,no,may,2,yes
35.0,blue-collar,married,primary,414,no,no,may,4,yes
33.0,management,divorced,secondary,5,yes,no,may,1,yes
38.0,management,married,tertiary,119,yes,no,may,4,yes
23.0,entrepreneur,single,primary,4,yes,no,may,2,yes
60.0,blue-collar,married,primary,1262,yes,yes,may,1,yes
48.0,management,married,tertiary,1949,yes,no,may,2,yes
45.0,entrepreneur,divorced,tertiary,-395,yes,no,may,1,yes
36.0,blue-collar,married,secondary,1165,yes,no,may,4,yes
52.0,management,married,unknown,2240,yes,no,may,1,yes
35.0,blue-collar,divorced,primary,300,yes,no,may,2,yes
43.0,technician,married,secondary,3285,yes,no,may,2,yes
52.0,housemaid,married,secondary,3923,yes,no,may,3,yes
53.0,technician,divorced,primary,1443,yes,no,may,1,yes
48.0,blue-collar,divorced,primary,24,yes,no,may,1,yes
41.0,blue-collar,single,primary,1618,yes,no,may,1,yes
39.0,management,divorced,tertiary,517,yes,yes,may,1,yes
59.0,retired,married,secondary,1521,yes,yes,may,2,yes
41.0,blue-collar,married,secondary,2823,yes,no,may,1,yes
48.0,blue-collar,married,secondary,1405,yes,no,may,2,yes
40.0,admin.,married,secondary,1535,yes,no,may,1,yes
48.0,blue-collar,married,secondary,1596,yes,no,may,1,yes
60.0,retired,married,primary,1542,yes,no,may,1,yes
40.0,technician,single,unknown,3652,yes,no,may,2,yes
57.0,technician,married,tertiary,-1,no,no,may,2,yes
51.0,blue-collar,married,secondary,4087,yes,no,may,1,yes
41.0,blue-collar,divorced,secondary,4087,yes,no,may,3,yes
41.0,blue-collar,married,secondary,1384,yes,no,may,4,yes
52.0,blue-collar,divorced,primary,-191,yes,no,may,1,yes
59.0,blue-collar,married,primary,320,yes,no,may,1,yes
44.0,blue-collar,married,unknown,146,yes,no,may,1,yes
49.0,unknown,married,primary,341,yes,yes,may,2,yes
40.0,services,married,primary,-9,yes,no,may,2,yes
41.0,admin.,married,primary,-306,yes,no,may,1,yes
44.0,technician,married,tertiary,4087,yes,no,may,2,yes
60.0,services,single,primary,313,yes,no,may,2,yes
29.0,management,married,tertiary,4087,no,no,may,2,yes
41.0,retired,divorced,primary,-233,yes,no,may,2,yes
41.0,blue-collar,married,primary,2453,yes,no,may,1,yes
42.0,technician,single,secondary,1364,yes,no,may,6,yes
36.0,services,single,unknown,281,yes,no,may,1,yes
39.0,technician,married,tertiary,94,yes,yes,may,1,yes
31.0,self-employed,single,tertiary,144,yes,no,may,1,yes
26.0,blue-collar,married,secondary,246,yes,no,may,3,yes
31.0,blue-collar,married,secondary,92,yes,no,may,1,yes
29.0,admin.,single,secondary,163,yes,yes,may,1,yes
37.0,services,divorced,secondary,49,yes,no,may,2,yes
33.0,blue-collar,single,secondary,-416,yes,no,may,2,yes
24.0,technician,single,secondary,409,yes,no,may,1,yes
50.0,admin.,divorced,secondary,363,yes,no,may,1,yes
27.0,technician,single,tertiary,3706,yes,no,may,1,yes
54.0,management,single,tertiary,4087,yes,no,may,3,yes
30.0,technician,single,secondary,863,yes,no,may,5,yes
34.0,blue-collar,married,primary,695,yes,yes,may,4,yes
37.0,management,single,secondary,792,yes,no,may,4,yes
41.0,admin.,single,secondary,1020,yes,no,may,1,yes
47.0,blue-collar,married,secondary,863,yes,no,may,2,yes
31.0,admin.,married,secondary,97,yes,no,may,1,yes
31.0,blue-collar,married,secondary,754,yes,no,may,4,yes
43.0,services,divorced,secondary,1040,yes,no,may,3,yes
37.0,management,divorced,tertiary,122,yes,no,may,2,yes
30.0,technician,single,tertiary,880,yes,yes,may,6,yes
41.0,technician,married,secondary,501,yes,no,may,5,yes
36.0,blue-collar,married,secondary,4087,yes,no,may,1,yes
35.0,blue-collar,divorced,secondary,0,yes,no,may,1,yes
29.0,services,single,secondary,271,yes,no,may,2,yes
35.0,blue-collar,married,primary,102,yes,no,may,1,yes
31.0,blue-collar,married,secondary,2,yes,no,may,2,yes
35.0,services,married,secondary,4087,yes,no,may,1,yes
34.0,technician,single,secondary,85,yes,no,may,4,yes
31.0,admin.,single,secondary,431,yes,yes,may,1,yes
44.0,technician,divorced,secondary,982,yes,no,may,3,yes
36.0,blue-collar,married,primary,408,yes,yes,may,2,yes
35.0,blue-collar,married,unknown,4087,yes,no,may,2,yes
41.0,blue-collar,married,primary,1250,yes,no,may,2,yes
31.0,blue-collar,single,primary,216,yes,no,may,1,yes
34.0,blue-collar,married,secondary,1207,yes,no,may,1,yes
32.0,technician,married,secondary,791,yes,no,may,2,yes
36.0,management,married,tertiary,849,yes,yes,may,2,yes
30.0,blue-collar,single,secondary,239,yes,no,may,1,yes
37.0,technician,single,secondary,1211,yes,no,may,1,yes
36.0,blue-collar,married,primary,599,yes,no,may,2,yes
31.0,management,single,tertiary,825,yes,no,may,2,yes
27.0,technician,married,secondary,2183,yes,yes,may,1,yes
34.0,retired,married,primary,4087,no,no,may,1,yes
30.0,technician,single,tertiary,1289,yes,no,may,2,yes
32.0,technician,single,tertiary,4087,yes,no,may,2,yes
37.0,technician,single,secondary,3326,yes,no,may,1,yes
32.0,blue-collar,married,secondary,783,yes,no,may,3,yes
33.0,blue-collar,married,secondary,0,yes,no,may,3,yes
35.0,blue-collar,married,primary,994,yes,no,may,6,yes
35.0,self-employed,divorced,tertiary,1354,yes,no,may,2,yes
30.0,blue-collar,single,secondary,239,yes,no,may,1,yes
45.0,blue-collar,divorced,primary,-311,yes,no,may,1,yes
45.0,admin.,married,secondary,149,yes,no,may,3,yes
33.0,blue-collar,married,secondary,1464,yes,no,may,3,yes
44.0,management,divorced,tertiary,4087,no,no,may,6,yes
40.0,blue-collar,married,primary,278,yes,no,may,3,yes
31.0,blue-collar,married,secondary,2910,yes,no,may,2,yes
30.0,technician,married,tertiary,541,yes,no,may,2,yes
44.0,technician,divorced,secondary,1262,yes,no,may,6,yes
34.0,services,married,secondary,-538,yes,no,may,1,yes
